Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-February-2018,370.00,370.70,366.50,368.90,368.730410973261191390,228993,3137,84436683.00,70432,30.76,4.20,-1.10
19-February-2018,371.95,374.00,363.50,367.75,368.176773353294107014,431513,4662,158873064.00,115764,26.83,10.50,-4.20
16-February-2018,377.25,379.40,368.30,370.55,372.000027962921166533,500663,5247,186246650.00,137246,27.41,11.10,-6.70
15-February-2018,379.00,382.40,373.85,376.15,378.461483029719336352,585612,5342,221631586.00,138629,23.67,8.55,-2.85
14-February-2018,373.90,382.40,371.20,376.85,376.416337954999941722,600577,6371,226066995.00,167001,27.81,11.20,2.95
12-February-2018,372.00,376.25,370.35,372.45,372.890892204394986409,469444,5325,175051392.00,172926,36.84,5.90,0.45
9-February-2018,370.00,373.10,368.50,369.20,370.281155267300711674,614888,9129,227681439.00,202614,32.95,4.60,-0.80
8-February-2018,381.00,381.00,372.70,374.85,376.128684121608649910,1041768,9099,391838827.00,544849,52.30,8.30,-6.15
7-February-2018,388.00,388.00,375.30,377.50,382.444649556803866200,1890021,13086,722828419.00,1141420,60.39,12.70,-10.50
6-February-2018,368.00,379.60,357.00,374.45,370.750467317154233816,2009877,24120,745162837.00,523929,26.07,22.60,6.45
5-February-2018,381.65,398.40,380.45,396.05,392.002108940247153967,723112,9191,283461429.00,203501,28.14,17.95,14.40
2-February-2018,391.00,397.25,381.65,384.05,388.628855152958857324,649423,8718,252384517.00,257626,39.67,15.60,-6.95
1-February-2018,401.00,403.85,391.05,394.65,398.528518254074683503,551822,6149,219916804.00,133747,24.24,12.80,-6.35
31-January-2018,396.20,401.00,395.75,399.25,398.327131382673551348,348600,4579,138856838.00,93203,26.74,5.25,3.05
30-January-2018,399.10,402.20,395.30,396.20,398.740224114219314223,407917,5474,162652916.00,139253,34.14,6.90,-2.90
29-January-2018,401.15,406.00,398.05,399.30,402.582514215781382923,335015,4304,134871181.00,119775,35.75,7.95,-1.85
25-January-2018,402.25,408.00,399.00,400.20,402.820811798364830643,559942,8787,225556291.00,222200,39.68,9.00,-2.05
24-January-2018,417.75,417.75,402.50,403.60,407.367010419742890818,765278,13251,311749011.00,353150,46.15,15.25,-14.15
23-January-2018,422.10,422.10,414.75,418.05,417.969005375976362119,365515,5888,152773941.00,153847,42.09,7.35,-4.05
22-January-2018,419.00,424.20,418.65,421.55,421.716343043107811168,156097,1759,65828656.00,53043,33.98,5.55,2.55
19-January-2018,419.75,421.90,415.20,418.95,418.098280036632334307,239133,2484,99981096.00,62861,26.29,6.70,-0.80
18-January-2018,422.35,427.75,414.80,418.80,421.193043470354509333,439932,4516,185296298.00,111844,25.42,12.95,-3.55
